Country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
China,-1.257922907,2.493394572,1.116569371,-0.85573894,0.778971461,-0.133810355,0.636356275,1.337658642,0.18457883,1.130223451,0.211110577,-0.487176981,-0.086606254,0.620588666,-0.353666178,0.634009647,-0.077067614,0.22710885,-0.080160748,0.04707006,-0.426020895,-0.419383236,0.29496754,0.150115682,0.201178059,-0.31389901,-0.018395657,-0.103696978,0.011911738,-0.044476003
Comoros,5.060338048,-0.042216491,0.561843018,-0.551386529,0.138920647,0.165570558,0.848505557,-0.6919117,-0.107635127,0.377834112,-0.512087675,-0.428250835,-0.530081695,-0.63386689,-0.842367152,0.041727312,-0.076622592,-0.385376126,-0.68019549,-0.372057825,-0.084170531,0.345351987,-0.234191012,-0.29137235,1.024052916,0.113107412,-0.021176384,-0.06040645,0.028742002,-0.099478519
Congo,5.216722305,-1.506925666,-0.093551462,0.268262255,0.140831985,-0.235570915,-1.073146542,1.400211372,1.242426651,-0.96356667,0.343300613,-0.39887707,0.00982677,0.259024683,0.374495454,0.729141348,-0.32706725,-0.631849922,1.002875744,0.267024277,0.736669732,0.480163858,-0.11117195,-0.229590845,-0.071253864,0.195938722,0.09079965,-0.12528592,-0.026959902,-0.08009177
Costa Rica,-2.604195366,-0.658389095,0.271520334,-1.86762772,-1.638095244,-0.1591931,0.333442969,0.336284349,-0.447310465,-0.420574597,0.234051062,-0.117050158,0.969337768,-0.185968076,-0.373011729,-0.566567988,-0.603445539,0.055475133,0.05857377,-0.011049724,-0.064586021,-0.011820003,-0.495386214,0.023233687,-0.045242226,0.24973073,-0.001342659,0.071969683,-0.030737916,-0.00786317
Croatia,-3.435099545,-0.210188801,-0.695082055,1.328575215,0.594862945,0.627426876,0.632641623,-0.279242154,0.127755138,0.05536433,-0.594901874,0.124913529,-0.224512993,0.160865259,-0.158870569,0.123489978,-0.323109535,-0.240173049,0.055657627,0.077390396,0.014610995,0.134983184,0.446484107,0.078055785,0.054818448,-0.063245917,0.040495127,0.106890889,-0.012766672,0.008970857
Cyprus,-4.217213147,0.189255521,0.72382029,0.092425357,0.275724564,0.960237245,-0.197532587,0.500322646,0.37206513,-0.745766626,-0.767140915,0.066685856,-0.288269538,-0.147727497,-0.629359584,0.569355848,0.843652864,0.307595757,0.44901088,-0.02927551,-0.03640607,0.227298897,-0.304110587,0.065977032,0.117947321,-0.074185294,-0.092504089,-0.006634988,-0.004737009,0.02215864
Czechia,-3.995420939,-0.739363473,-0.448503562,1.770237265,0.257014834,-0.190969786,0.383375771,0.381763734,-0.098789641,-0.301909488,-0.429282019,0.257600836,0.021508286,-0.260808457,0.332479026,0.30245609,-0.010424104,-0.102728195,-0.03266849,0.066774003,0.066319058,0.125136915,0.210858773,0.041802981,-0.050045244,-0.061979016,-0.15704059,-0.04375747,-0.023326219,-0.012923107
Denmark,-4.195785726,-1.512373896,0.376388475,0.649857133,-0.52701476,0.126466762,0.135510919,-0.087993826,-0.42755077,-0.058201598,0.569466847,0.307435866,-0.200510046,-0.452394215,0.402750339,0.625621389,0.0914974,-0.001523128,-0.177299904,0.011110598,0.164179491,0.003370535,0.158806062,-0.13619269,-0.167983162,0.005905064,0.0010421,-0.081410817,0.026994962,0.005341309
Dominican Republic,-0.148331604,0.726175071,0.878701978,-2.911537128,-0.168989812,-1.505166195,-0.886291559,0.404798545,-0.075328153,0.09869474,-0.788312298,-0.438952416,-0.031503901,-0.283203475,0.063327799,-0.656189533,-0.380104045,0.24342817,-0.741918361,0.678612055,0.55850433,-0.081870922,-0.152385096,-0.318905181,0.219880975,-0.073610866,0.34478849,-0.085866857,0.027711968,0.052374308
Egypt,-1.203233583,2.605511234,1.622112407,-1.41632981,1.206738533,-0.284635469,-0.380780331,-3.544631722,1.151775773,-0.441862306,-0.696520977,0.001727627,-0.656222331,1.779065928,0.616691483,1.098342321,1.040889267,0.037191268,-0.182282946,-0.250287546,-0.132152093,0.051298582,0.185365172,0.102330545,-0.004495271,0.107471817,-0.018524976,-0.027438786,0.016619287,-0.001539579
El Salvador,-1.442788469,-1.58979194,-0.229707885,-1.35548537,-0.626549366,-0.147286996,-0.063329941,-0.746451239,0.632167073,-0.078144288,-0.84805193,0.036098117,0.597241259,0.813668534,0.49348939,0.304242727,-0.852390458,-0.022702599,-0.18937358,-0.013882556,-0.14297592,-0.217438274,0.344735859,0.054838299,-0.024764544,-0.07927317,-0.084751216,0.023289151,-0.015499402,-0.054833212
Estonia,-4.468206137,0.711841793,1.185277827,1.427247646,0.517652701,-0.115849281,-0.521986732,-1.097271927,0.715707467,0.12863404,0.0538328,0.213759071,-0.058137382,0.342788998,0.05355897,-0.125998226,-0.132622328,-0.279802986,-0.258741446,-0.310462242,0.198437392,-0.108666427,0.175462513,0.049278167,-0.154725949,0.068030589,0.108523335,0.043749044,0.030025897,0.030851544
Eswatini,4.537440661,0.084044076,-0.607118462,-0.16268265,0.518767956,-2.545983596,-1.993864932,0.224123698,-0.43401786,0.691366782,0.128127859,0.257863969,-0.045314428,0.212203933,-0.164025809,-0.415667524,0.837834418,0.46961382,0.46124452,-0.456972937,-0.437459082,0.220883851,-0.175502679,0.030385138,-0.335814842,-0.295222881,-0.186865242,0.052953792,0.003502949,-0.073090511
Ethiopia,6.578305352,-1.069711729,1.605917781,-0.01513381,-1.332197264,1.417856349,0.239616857,0.567180042,0.149119541,0.436984566,0.829904055,1.608587097,0.169313329,0.525962359,0.522048045,-0.656600354,0.97488095,0.118493365,-1.010423119,0.56373363,0.261031065,0.479855899,0.534692836,-0.155314824,0.058818946,0.057072902,0.340075259,-0.102293204,-0.021495972,0.036786024
Fiji,0.472660538,-0.098126889,-2.522409028,-0.444288205,1.033610978,0.206320689,1.268448357,-1.017129276,-0.504472596,0.31898119,-0.141711206,-0.485166072,-0.73195779,-0.034537696,0.347080216,-0.372056734,0.899780084,-0.629865547,-0.021744709,-0.786955264,-0.144882003,-0.23892882,0.144041688,-0.655951764,0.019935826,-0.063993298,0.089556432,0.139655271,-0.027266151,0.020344074
Finland,-4.737219099,-1.463390147,0.957563589,1.20121978,-0.778694923,0.191228931,-0.637480267,-0.183487552,-0.066493106,0.061269882,0.675939237,-0.467205961,-0.323109204,-0.22275951,0.061680958,-0.407811772,-0.11550631,-0.062132506,0.024445275,-0.032640401,0.248330993,0.036780241,-0.136594128,-0.116270989,-0.283291866,0.091266165,-0.042495914,0.004998511,0.005180065,-0.003054272
France,-4.649346931,-1.386473416,-0.053325253,1.650761322,-0.330024472,0.759242779,-0.383072599,0.221274597,-0.060051118,-0.265661818,-0.497422358,0.054623944,-0.171062248,-0.458604981,-0.396072662,-0.449405516,-0.074008407,0.077040761,-0.086397963,-0.159795167,0.122734408,-0.069694477,0.16046597,0.42046428,0.140746906,-0.033221466,-0.010893072,0.051972249,0.044873409,0.010547125
Gambia,5.501051267,-1.144665224,-0.517315411,-0.01482839,-0.028971906,0.021740433,0.432095891,0.014890376,-0.808442892,0.5001583,-0.613150709,0.237915751,-0.517835427,0.740684165,-0.337215406,0.124098342,-0.615790253,-0.904778252,-0.325300459,-0.236392309,0.58440187,0.011159846,-0.616761449,0.66574982,-0.223478376,-0.497431879,0.007805614,-0.174485235,0.002698867,0.071380301
Georgia,-1.711419387,5.250288584,1.974918948,-0.184029242,2.689983607,-1.737239046,0.753329191,0.495617694,-0.072690656,0.861305352,1.107791386,0.592354384,0.331150563,-0.51023353,0.659818122,0.262450243,-1.237284961,-0.5079615,-0.066862434,0.121166504,0.034974607,-0.194553486,0.079579801,-0.183407925,-0.181924678,0.085984463,-0.022151572,-0.038964076,-0.031238978,-0.047773716
Germany,-4.665327933,-1.290669377,0.024371852,1.748834588,-0.157644204,0.042242757,-0.068030673,0.001319505,-0.441119734,-0.076464487,0.188398992,0.446617438,-0.576636069,-0.366420271,0.165123356,0.373273817,-0.220179036,-0.030876319,-0.098115411,0.06304233,0.031084939,-0.122446514,0.202807749,-0.020775435,0.125039149,-0.082564486,0.025377755,-0.081293841,-0.039625151,-0.01819488
Ghana,4.915065007,-1.426181605,-0.045492464,-0.13501374,-0.555205283,0.132926622,0.713027333,-0.167375068,0.095756947,0.390474541,1.125204485,-0.862799228,-0.514223391,0.662607677,0.786566907,0.363888846,-0.346522009,-0.304823426,-0.327887484,0.577232298,0.398571815,0.524589076,-0.296646767,0.107373466,0.080944574,-0.604251743,-0.249973291,0.108634516,0.040340797,-0.055813174
Greece,-4.481405445,1.123262121,1.165237723,1.216569488,0.78445496,0.359167015,-0.024443916,-0.218526276,1.048547508,-0.326911676,-0.980014005,0.548448701,1.062297732,-0.026133973,-0.391870091,0.638553897,-0.26487516,-0.636081156,-0.348805002,0.203734367,-0.067316796,0.014947494,-0.470268956,-0.07686408,-0.060240878,-0.000645677,-0.033582846,0.022509214,0.012260305,-0.006223547
Guyana,1.549969234,1.248125587,-3.176504279,-1.114016055,-2.472857659,-2.499885818,1.293116603,-0.974921562,-0.595193956,-2.360887251,0.651711756,-0.124356231,-0.146317603,0.588878464,-0.889051098,-0.10893295,-0.475211739,0.425439927,-0.501918976,-0.150960203,0.102741856,0.064710453,0.167468391,-0.303856049,-0.283101823,-0.315071187,-0.016761487,0.026259525,-0.006807486,-0.003385045
Hungary,-3.242996643,0.202265967,-0.661235358,1.276424087,0.675146887,-0.381616791,0.61175623,-0.40035852,0.107646866,-0.114327339,-0.478152614,-0.121694534,0.266001894,0.383858137,0.426115306,-0.247134625,0.220138594,0.110633024,0.178513767,0.00325402,0.064369738,0.288923407,-0.034533588,-0.283369578,0.147039482,-0.08153619,0.07584004,-0.004807752,0.006022082,0.017185797
Iceland,-4.664273988,-1.684096928,1.129744903,0.52984787,-0.83698307,-0.118826059,-0.448458665,-0.329288687,-0.37333802,0.36255071,1.252051137,0.337639977,-1.016884641,-0.290474553,0.209272372,0.438295723,-0.30190803,0.169178399,-0.021864634,0.104505209,0.096476367,-0.115208433,-0.180774336,-0.260994063,-0.184812652,0.100792517,0.001582021,-0.039857488,0.052117635,-0.005523316
India,2.474878678,7.547988982,-2.255462738,1.50765162,-8.26029311,1.369732952,-0.602272258,0.163250963,0.951780174,1.45231249,-0.95408993,0.227044488,-0.308799268,-0.426134628,0.86563508,0.042677147,-0.100948448,-0.191201463,0.263499793,-0.052587085,-0.172845421,0.007597914,-0.036361717,-0.078531542,0.016391791,0.025164994,-0.060645601,-0.037545445,0.001752894,-0.010399946
Indonesia,1.107175373,0.682946238,-2.620532616,-0.330584808,0.583977171,1.746244516,0.015633151,-0.719447664,0.184004996,0.500592858,-0.101582201,0.022059076,-0.061410423,-0.327602529,0.295505656,0.359054396,0.222762988,0.244183778,1.287939088,-0.039526871,0.70532279,0.016404453,0.068961025,0.151300593,0.340803678,-0.199812118,0.260802772,-0.050562822,0.020047308,-0.00061936
Iran (Islamic Republic of),-1.302374462,0.345675334,0.924492167,-2.878469173,-0.186452779,-0.162882767,0.042024399,-0.272582705,0.411465962,0.621089109,-0.178474275,0.271187432,0.300351351,-0.150559944,-0.384566188,0.059431972,0.236041223,0.090034444,-0.096288761,-0.03445773,-0.013418943,-0.051135139,0.082552088,0.456787018,0.072665078,0.059193292,-0.154011885,0.125109932,-0.114857388,0.001385326
Iraq,0.094081067,-0.887292584,-1.178778921,-1.810300657,0.040271153,0.249445442,0.384341557,-1.470553759,0.057996721,-0.140142145,-0.975640932,0.13732854,0.019095478,-0.194831711,0.118316488,-0.627741859,-0.290324302,0.14715815,0.358137233,0.240062492,0.103708398,-0.140441864,-0.00543642,0.464442003,0.088009748,0.155191945,-0.072655849,-0.026775399,-0.033970723,-0.009836756
Ireland,-4.810374723,-1.412384413,0.70137587,1.587043025,-0.699155213,0.25203361,-0.945260173,0.101763097,-0.409299409,-0.009898044,0.323313697,-0.224977107,-0.631645727,-0.028926526,-0.10268308,-0.875834032,-0.014222622,-0.244406116,0.099884778,0.031538621,0.132200988,0.22983963,-0.109644584,0.207122493,0.110039702,0.10288892,-0.106218018,0.125301812,0.00682856,-0.003093805
Italy,-4.431077099,-0.594733156,0.97749096,0.368083453,-0.426649064,0.667778139,-0.016267643,-0.116991425,0.222504993,0.035631935,-0.161074849,-0.191764286,1.011096643,0.046826683,-0.219656513,0.373884043,-0.076077545,-0.347107491,-0.191545879,-0.092545602,-0.113457849,-0.044843651,-0.078748849,-0.007600752,-0.0163311,-0.077318234,0.048503175,0.021330896,-0.049548342,-0.010221853
Jamaica,-1.010925819,-0.537175679,0.302558551,-2.695545229,-0.277602699,-0.086645366,0.442699969,0.390516937,-0.419266153,-0.185756232,-0.028373116,0.284680373,-0.081160329,-0.416580384,0.365187563,-0.015628928,0.392043128,-0.412731019,0.617544026,-0.007994904,0.122684298,0.189707198,0.244498415,0.21975867,-0.11564417,0.073491744,0.177089855,0.027842722,0.027994379,0.046110309
Japan,-4.818337707,-1.574227246,1.231361823,1.479582134,-1.158170028,1.304202298,-0.512388694,-0.415198964,0.51814308,0.127789595,0.227677114,-1.762999748,0.742182615,0.663138643,-0.442235151,-0.539399667,-0.266874115,0.19525929,-0.062826436,-0.090850197,0.028577292,-0.222220731,0.184485882,0.073177062,-0.128793789,-0.116298154,0.282462548,0.001448386,0.039048321,-0.024253616
Kazakhstan,-1.756222633,-0.47597316,-1.384937589,0.485421692,0.246558327,-0.865226501,0.597055092,-1.004846916,0.460989632,1.386712638,0.234205523,0.066044962,0.912995997,-0.304471586,-0.159807046,-1.145145729,0.05623935,0.686795045,-0.335953101,-0.333935734,0.02972292,-0.294577333,-0.366468297,0.217289483,0.245119216,-0.025435971,0.081233024,0.079939268,0.004880751,0.007310643
Kenya,4.608596428,-1.632548512,0.607527629,-1.117170441,-0.577719147,0.678695847,-1.191349809,0.689499575,-0.019820093,-0.032122729,0.083775446,1.579899914,0.015576969,0.117682912,-0.415687235,-0.354828626,-0.104637084,-0.389896006,-0.216809196,-0.616705601,-0.175391485,0.396162835,0.511652358,-0.641541306,0.252586995,0.258157594,-0.007619051,-0.245794775,0.051590723,0.039443592
Kyrgyzstan,-0.558449654,0.674021088,-2.280082034,-0.098579662,-0.622329511,-0.587952649,1.033368891,-0.336734211,-0.347776251,-0.832821345,0.805738398,0.368354472,-0.51260315,-0.008323315,-0.839642762,0.083822506,-0.03576987,0.03192633,0.092263135,0.200140022,0.287448268,-0.671063798,-0.084113672,0.214620355,0.197891165,0.187415533,0.179202193,-0.242608911,0.025232483,-0.021235196
Lao People's Democratic Republic,3.241210971,0.374565263,-1.413682673,1.444019745,1.339496701,1.021756657,0.8114876,0.406223438,-0.430631653,-1.330461409,-0.950553172,-0.330513497,-0.486545198,0.125180907,0.544356438,-0.41283449,0.57867903,0.180617055,-0.637836556,0.17610872,-0.280289688,-0.475493381,-0.341515295,-0.084143905,-0.149668835,0.025525719,-0.018544821,-0.169109308,0.035820597,-0.057027213
Latvia,-2.951914198,1.858561702,0.282510683,0.96663833,1.248070882,-0.541861826,0.154257114,0.397843331,0.537191685,-0.137339828,-0.584770911,-0.280307323,0.309113881,0.115538871,0.033020799,-0.369396408,0.397850828,0.178159409,0.193191187,-0.168619221,0.076141029,0.359972696,0.330390229,0.057121704,-0.002220452,-0.237094776,-0.057234494,0.056751877,0.002092996,0.021669042
Lesotho,7.815803435,0.400697018,-2.068799438,1.010067971,1.529028141,-0.977107587,-3.064192502,-1.057200657,-0.539850609,0.323799797,-0.189333857,-0.328003799,0.258775412,-1.055925625,-1.003574341,0.375930854,-0.54764004,-0.357644932,0.17875756,0.128367066,-0.351131447,0.195766913,0.459488682,0.283784967,-0.150488197,-0.202905209,0.25027196,-0.268999769,0.005384765,0.012667236
Lithuania,-3.828066532,0.597865936,0.327012191,2.105294584,0.712194873,-1.161035498,-0.09010596,-0.323410229,0.321027421,0.327824185,0.285635475,0.500999326,0.680495294,0.001241122,0.599233894,-0.354417058,-0.172942082,-0.601287551,-0.376870989,0.039867908,0.216614559,0.06244312,-0.127989676,-0.193136634,-0.056208341,0.082210105,0.051019919,-0.00443134,-0.00032423,0.016873103
Luxembourg,-4.720029102,-1.666659348,0.394726914,1.064455215,-0.624550888,0.031136425,-0.50349312,0.049109285,-0.253739849,-0.178854783,-0.050790887,0.246377316,-0.740373355,0.124025753,0.150865945,0.547439907,0.084723877,0.046588805,-0.230110969,-0.042114286,0.091578783,0.029141706,0.197769165,0.091841246,0.041697738,0.050150893,-0.011649726,0.033165706,0.005376081,-0.001890437
Madagascar,7.052221377,-1.162865289,0.079472661,0.827496764,0.385327622,1.437300616,0.60607581,0.295008432,2.219368576,-0.749124276,0.5888217,1.112520245,0.029027207,0.001459656,0.367176784,-0.853306622,0.114201838,0.66853838,0.164027007,0.16052384,-0.027899956,-0.024051904,-0.190331143,0.416591213,-0.214158545,-0.050248452,0.135027725,0.171687851,0.033140252,-0.0337864
Malawi,4.846048661,-1.688603378,0.280278021,-1.016362557,-0.429471765,-0.147071686,0.044962389,0.59709766,1.251536463,-0.413400953,-0.176808081,-0.043730162,-0.528285598,-0.029730929,0.296711982,-0.108592782,-0.810527437,-0.430166633,0.312340224,-0.57549748,-0.158417294,0.364972362,-0.47131229,-0.030849969,-0.150055671,-0.341243388,0.152792454,0.022949,0.040708614,0.006678715
Malaysia,-1.58175364,-1.186643883,-1.396101051,-1.693758517,-0.121623678,0.425148801,0.301582507,-0.545601108,0.387358462,0.911123277,-0.3076728,0.305173034,0.194229244,0.110210813,-0.540150139,0.043086266,-0.236629799,0.290720841,-0.048334743,0.212725228,0.51737206,-0.219882287,0.18764636,-0.176556023,-0.168959379,0.014775837,-0.232779019,0.051309057,0.066392416,0.021435184
Mali,8.098578474,-0.814543464,1.70636941,0.681093309,-0.209532142,-0.32844207,1.160304947,-1.413753442,0.005282937,-0.643298065,-0.316637658,-0.902683176,0.01903559,-0.816552025,0.034458041,0.14566544,-0.305608965,0.370207711,0.538875972,-0.549709913,-0.192557262,-0.060341009,-0.395588156,-0.328568064,0.075938638,0.300013951,0.121999964,-0.113195461,-0.023484665,0.061154575
Malta,-4.24824343,0.175515247,1.389524603,0.048978794,-0.333441099,0.707979794,-0.754998757,0.055437363,-0.254267499,-0.013267867,0.00924788,-0.89138722,0.423916891,-0.05736822,-0.554261066,-0.788415561,-0.017497515,-0.070998842,0.203454189,-0.0045249,-0.167648141,-0.061450011,-0.249919311,-0.06130236,0.142630036,-0.107194609,0.028113677,-0.052129642,-0.015911711,0.000828857
Mauritius,-1.537696233,0.247111008,-0.710292226,-0.976867766,0.562785182,0.010665075,0.542127156,-0.822579339,0.026654983,-0.070099239,-0.369971928,-0.186068895,0.10715585,-0.722180535,0.090124518,-0.462142406,0.1854441,-0.102598289,0.28486131,0.128828781,0.645413132,0.329532634,-0.066505951,-0.246212486,-0.136643407,-0.075930042,0.027243706,0.11008259,-0.083109827,0.00131929
